usageKey,scientificName,rank,order,matchType,phylum,kingdom,genus,class,confidence,synonym,status,family,usageKey1,scientificName2,rank1,order1,matchType1,phylum1,kingdom1,genus1,class1,confidence1,synonym1,status1,family1,UniqueID,TaxonomicGroup,YearPublished,Kingdom,scientificName1,vernacularName,RLCAsPublished,RLC,RLCEurope,Criteria,Reference,license,rightsHolder,accessRights,datasetName,locationID,locality,countryCode,occurrencestatus,threadStatus
2426612,"Alytes obstetricans (Laurenti, 1768)",SPECIES,Anura,EXACT,Chordata,Animalia,Alytes,Amphibia,99,FALSE,ACCEPTED,Alytidae,2426612,"Alytes obstetricans (Laurenti, 1768)",SPECIES,Anura,EXACT,Chordata,Animalia,Alytes,Amphibia,98,FALSE,ACCEPTED,Alytidae,INBO:RL:NONVAL:AMP:1996:1,Amphibians,1996,Animalia,Alytes obstetricans,Vroedmeesterpad,Bedreigd,EN,LC,Regional,BauwensClaus_1996,http://creativecommons.org/publicdomain/zero/1.0/,INBO,http://www.inbo.be/en/norms-for-data-use,UnValidated Red Lists of Flanders,http://marineregions.org/mrgid/2469,Flanders,BE,present,Endangered (EN)
2431776,"Salamandra salamandra (Linnaeus, 1758)",SPECIES,Caudata,EXACT,Chordata,Animalia,Salamandra,Amphibia,99,FALSE,ACCEPTED,Salamandridae,2431776,"Salamandra salamandra (Linnaeus, 1758)",SPECIES,Caudata,EXACT,Chordata,Animalia,Salamandra,Amphibia,98,FALSE,ACCEPTED,Salamandridae,INBO:RL:NONVAL:AMP:1996:10,Amphibians,1996,Animalia,Salamandra salamandra,Vuursalamander,Kwetsbaar,VU,LC,Regional,BauwensClaus_1996,http://creativecommons.org/publicdomain/zero/1.0/,INBO,http://www.inbo.be/en/norms-for-data-use,UnValidated Red Lists of Flanders,http://marineregions.org/mrgid/2469,Flanders,BE,present,Vulnerable (VU)
2431785,"Triturus alpestris (Laurenti, 1768)",SPECIES,Caudata,EXACT,Chordata,Animalia,Ichthyosaura,Amphibia,99,TRUE,SYNONYM,Salamandridae,2431785,"Triturus alpestris (Laurenti, 1768)",SPECIES,Caudata,EXACT,Chordata,Animalia,Ichthyosaura,Amphibia,98,TRUE,SYNONYM,Salamandridae,INBO:RL:NONVAL:AMP:1996:11,Amphibians,1996,Animalia,Triturus alpestris,Alpenwatersalamander,Momenteel niet bedreigd,LC,LC,Regional,BauwensClaus_1996,http://creativecommons.org/publicdomain/zero/1.0/,INBO,http://www.inbo.be/en/norms-for-data-use,UnValidated Red Lists of Flanders,http://marineregions.org/mrgid/2469,Flanders,BE,present,Least Concern (LC)
2431885,"Triturus cristatus (Laurenti, 1768)",SPECIES,Caudata,EXACT,Chordata,Animalia,Triturus,Amphibia,99,FALSE,ACCEPTED,Salamandridae,2431885,"Triturus cristatus (Laurenti, 1768)",SPECIES,Caudata,EXACT,Chordata,Animalia,Triturus,Amphibia,98,FALSE,ACCEPTED,Salamandridae,INBO:RL:NONVAL:AMP:1996:12,Amphibians,1996,Animalia,Triturus cristatus,Kamsalamander,Zeldzaam,NT,LC,Regional,BauwensClaus_1996,http://creativecommons.org/publicdomain/zero/1.0/,INBO,http://www.inbo.be/en/norms-for-data-use,UnValidated Red Lists of Flanders,http://marineregions.org/mrgid/2469,Flanders,BE,present,Near Threatened (NT)
2431911,"Triturus helveticus (Razoumovsky, 1789)",SPECIES,Caudata,EXACT,Chordata,Animalia,Lissotriton,Amphibia,99,TRUE,SYNONYM,Salamandridae,2431911,"Triturus helveticus (Razoumovsky, 1789)",SPECIES,Caudata,EXACT,Chordata,Animalia,Lissotriton,Amphibia,98,TRUE,SYNONYM,Salamandridae,INBO:RL:NONVAL:AMP:1996:13,Amphibians,1996,Animalia,Triturus helveticus,Vinpootsalamander,Zeldzaam,NT,LC,Regional,BauwensClaus_1996,http://creativecommons.org/publicdomain/zero/1.0/,INBO,http://www.inbo.be/en/norms-for-data-use,UnValidated Red Lists of Flanders,http://marineregions.org/mrgid/2469,Flanders,BE,present,Near Threatened (NT)
2431895,"Triturus vulgaris (Linnaeus, 1758)",SPECIES,Caudata,EXACT,Chordata,Animalia,Lissotriton,Amphibia,99,TRUE,SYNONYM,Salamandridae,2431895,"Triturus vulgaris (Linnaeus, 1758)",SPECIES,Caudata,EXACT,Chordata,Animalia,Lissotriton,Amphibia,98,TRUE,SYNONYM,Salamandridae,INBO:RL:NONVAL:AMP:1996:14,Amphibians,1996,Animalia,Triturus vulgaris,Kleine watersalamander,Momenteel niet bedreigd,LC,LC,Regional,BauwensClaus_1996,http://creativecommons.org/publicdomain/zero/1.0/,INBO,http://www.inbo.be/en/norms-for-data-use,UnValidated Red Lists of Flanders,http://marineregions.org/mrgid/2469,Flanders,BE,present,Least Concern (LC)
2423435,"Bombina variegata (Linnaeus, 1758)",SPECIES,Anura,EXACT,Chordata,Animalia,Bombina,Amphibia,99,FALSE,ACCEPTED,Bombinatoridae,2423435,"Bombina variegata (Linnaeus, 1758)",SPECIES,Anura,EXACT,Chordata,Animalia,Bombina,Amphibia,98,FALSE,ACCEPTED,Bombinatoridae,INBO:RL:NONVAL:AMP:1996:2,Amphibians,1996,Animalia,Bombina variegata,Geelbuikvuurpad,Uitgestorven in Vlaanderen,RE,LC,Regional,BauwensClaus_1996,http://creativecommons.org/publicdomain/zero/1.0/,INBO,http://www.inbo.be/en/norms-for-data-use,UnValidated Red Lists of Flanders,http://marineregions.org/mrgid/2469,Flanders,BE,present,Regionally Extinct (REX) in Flanders
5217160,"Bufo bufo (Linnaeus, 1758)",SPECIES,Anura,EXACT,Chordata,Animalia,Bufo,Amphibia,99,FALSE,ACCEPTED,Bufonidae,5217160,"Bufo bufo (Linnaeus, 1758)",SPECIES,Anura,EXACT,Chordata,Animalia,Bufo,Amphibia,98,FALSE,ACCEPTED,Bufonidae,INBO:RL:NONVAL:AMP:1996:3,Amphibians,1996,Animalia,Bufo bufo,Gewone pad,Momenteel niet bedreigd,LC,LC,Regional,BauwensClaus_1996,http://creativecommons.org/publicdomain/zero/1.0/,INBO,http://www.inbo.be/en/norms-for-data-use,UnValidated Red Lists of Flanders,http://marineregions.org/mrgid/2469,Flanders,BE,present,Least Concern (LC)
5216775,"Bufo calamita Laurenti, 1768",SPECIES,Anura,EXACT,Chordata,Animalia,Epidalea,Amphibia,100,TRUE,SYNONYM,Bufonidae,5216775,"Bufo calamita Laurenti, 1768",SPECIES,Anura,EXACT,Chordata,Animalia,Epidalea,Amphibia,98,TRUE,SYNONYM,Bufonidae,INBO:RL:NONVAL:AMP:1996:4,Amphibians,1996,Animalia,Bufo calamita,Rugstreeppad,Zeldzaam,NT,LC,Regional,BauwensClaus_1996,http://creativecommons.org/publicdomain/zero/1.0/,INBO,http://www.inbo.be/en/norms-for-data-use,UnValidated Red Lists of Flanders,http://marineregions.org/mrgid/2469,Flanders,BE,present,Near Threatened (NT)
2427573,"Hyla arborea (Linnaeus, 1758)",SPECIES,Anura,EXACT,Chordata,Animalia,Hyla,Amphibia,99,FALSE,ACCEPTED,Hylidae,2427573,"Hyla arborea (Linnaeus, 1758)",SPECIES,Anura,EXACT,Chordata,Animalia,Hyla,Amphibia,98,FALSE,ACCEPTED,Hylidae,INBO:RL:NONVAL:AMP:1996:5,Amphibians,1996,Animalia,Hyla arborea,Boomkikker,Met uitsterven bedreigd,CR,LC,Regional,BauwensClaus_1996,http://creativecommons.org/publicdomain/zero/1.0/,INBO,http://www.inbo.be/en/norms-for-data-use,UnValidated Red Lists of Flanders,http://marineregions.org/mrgid/2469,Flanders,BE,present,Critically Endangered (CR)
