taxonID;TaxonomicGroup;YearPublished;Kingdom;Phylum;Class;Order;Family;Genus;Species;SpeciesnameAsPublished;vernacularName;RLCEurope;Criteria;IUCNCriteria;Reference;Biome;Biotope1;Biotope2;Cuddliness;Lifespan;Mobility;NutrientLevel;Spine;license;rightsHolder;accessRights;datasetName;locationID;locality;countryCode;occurrencestatus;threadStatus;RLCAsPublished;RLC;eventDate;language2
INBO:RL:VAL:AMP:2013:15;Amphibians;2013;Animalia;Chordata;Amphibia;Anura;Alytidae;Alytes;obstetricans;Alytes obstetricans;Vroedmeesterpad;LC;IUCN;"B2a(i)b(iii)c(iv);C2a(i)";Jooris_etal_2012;Aquatic;Limnophilous;NA;Low;Longlived;Low;Mesotrophic;Vertebrate;http://creativecommons.org/publicdomain/zero/1.0/;INBO;http://www.inbo.be/en/norms-for-data-use;Validated Red Lists of Flanders;http://marineregions.org/mrgid/2469;Flanders;BE;present;Endangered (EN);Bedreigd;EN;to complete;nl
INBO:RL:VAL:AMP:2013:16;Amphibians;2013;Animalia;Chordata;Amphibia;Anura;Bombinatoridae;Bombina;variegata;Bombina variegata;Geelbuikvuurpad;LC;IUCN;NA;Jooris_etal_2012;Aquatic;Limnophilous;NA;Low;Longlived;Low;Mesotrophic;Vertebrate;http://creativecommons.org/publicdomain/zero/1.0/;INBO;http://www.inbo.be/en/norms-for-data-use;Validated Red Lists of Flanders;http://marineregions.org/mrgid/2469;Flanders;BE;present;Regionally Extinct (EX);Regionaal uitgestorven;RE;to complete;nl
INBO:RL:VAL:AMP:2013:17;Amphibians;2013;Animalia;Chordata;Amphibia;Anura;Bufonidae;Bufo;bufo;Bufo bufo;Gewone pad;LC;IUCN;NA;Jooris_etal_2012;Aquatic;Eurytopic;NA;Low;Longlived;Low;Eutrophic;Vertebrate;http://creativecommons.org/publicdomain/zero/1.0/;INBO;http://www.inbo.be/en/norms-for-data-use;Validated Red Lists of Flanders;http://marineregions.org/mrgid/2469;Flanders;BE;present;Least Concern (LC);Momenteel niet in gevaar;LC;to complete;nl
INBO:RL:VAL:AMP:2013:18;Amphibians;2013;Animalia;Chordata;Amphibia;Anura;Bufonidae;Bufo;calamita;Bufo calamita;Rugstreeppad;LC;IUCN;"B2a(i);C2a(i)";Jooris_etal_2012;Aquatic;Heathlands;NA;Low;Longlived;Low;Oligotrophic;Vertebrate;http://creativecommons.org/publicdomain/zero/1.0/;INBO;http://www.inbo.be/en/norms-for-data-use;Validated Red Lists of Flanders;http://marineregions.org/mrgid/2469;Flanders;BE;present;Vulnerable (VU);Kwetsbaar;VU;to complete;nl
INBO:RL:VAL:AMP:2013:19;Amphibians;2013;Animalia;Chordata;Amphibia;Anura;Hylidae;Hyla;arborea;Hyla arborea;Boomkikker;LC;IUCN;"B2a(i)b(iii)c(iv);C2a(i)";Jooris_etal_2012;Aquatic;Limnophilous;NA;Low;Longlived;Low;Mesotrophic;Vertebrate;http://creativecommons.org/publicdomain/zero/1.0/;INBO;http://www.inbo.be/en/norms-for-data-use;Validated Red Lists of Flanders;http://marineregions.org/mrgid/2469;Flanders;BE;present;Critically Endangered (CR);Ernstig bedreigd;CR;to complete;nl
INBO:RL:VAL:AMP:2013:20;Amphibians;2013;Animalia;Chordata;Amphibia;Caudata;Salamandridae;Ichthyosaura;alpestris;Ichthyosaura alpestris;Alpenwatersalamander;LC;IUCN;NA;Jooris_etal_2012;Aquatic;Limnophilous;NA;Low;Longlived;Low;Eutrophic;Vertebrate;http://creativecommons.org/publicdomain/zero/1.0/;INBO;http://www.inbo.be/en/norms-for-data-use;Validated Red Lists of Flanders;http://marineregions.org/mrgid/2469;Flanders;BE;present;Least Concern (LC);Momenteel niet in gevaar;LC;to complete;nl
INBO:RL:VAL:AMP:2013:21;Amphibians;2013;Animalia;Chordata;Amphibia;Caudata;Salamandridae;Lissotriton;helveticus;Lissotriton helveticus;Vinpootsalamander;LC;IUCN;NA;Jooris_etal_2012;Aquatic;Limnophilous;NA;Low;Longlived;Low;Oligotrophic;Vertebrate;http://creativecommons.org/publicdomain/zero/1.0/;INBO;http://www.inbo.be/en/norms-for-data-use;Validated Red Lists of Flanders;http://marineregions.org/mrgid/2469;Flanders;BE;present;Least Concern (LC);Momenteel niet in gevaar;LC;to complete;nl
INBO:RL:VAL:AMP:2013:22;Amphibians;2013;Animalia;Chordata;Amphibia;Caudata;Salamandridae;Lissotriton;vulgaris;Lissotriton vulgaris;Kleine watersalamander;LC;IUCN;NA;Jooris_etal_2012;Aquatic;Limnophilous;NA;Low;Longlived;Low;Eutrophic;Vertebrate;http://creativecommons.org/publicdomain/zero/1.0/;INBO;http://www.inbo.be/en/norms-for-data-use;Validated Red Lists of Flanders;http://marineregions.org/mrgid/2469;Flanders;BE;present;Least Concern (LC);Momenteel niet in gevaar;LC;to complete;nl
INBO:RL:VAL:AMP:2013:23;Amphibians;2013;Animalia;Chordata;Amphibia;Anura;Pelobatidae;Pelobates;fuscus;Pelobates fuscus;Knoflookpad;LC;IUCN;"A2c;B2a(i,ii)b(ii,iii)c(iv);C1,C2a(i)";Jooris_etal_2012;Aquatic;Limnophilous;NA;Low;Longlived;Low;Mesotrophic;Vertebrate;http://creativecommons.org/publicdomain/zero/1.0/;INBO;http://www.inbo.be/en/norms-for-data-use;Validated Red Lists of Flanders;http://marineregions.org/mrgid/2469;Flanders;BE;present;Critically Endangered (CR);Ernstig bedreigd;CR;to complete;nl
INBO:RL:VAL:AMP:2013:24;Amphibians;2013;Animalia;Chordata;Amphibia;Anura;Ranidae;Pelophylax;kl. Esculentus;Pelophylax kl. esculentus;Bastaardkikker;LC;IUCN;NA;Jooris_etal_2012;Aquatic;Eurytopic;NA;Low;Longlived;Low;Eutrophic;Vertebrate;http://creativecommons.org/publicdomain/zero/1.0/;INBO;http://www.inbo.be/en/norms-for-data-use;Validated Red Lists of Flanders;http://marineregions.org/mrgid/2469;Flanders;BE;present;Least Concern (LC);Momenteel niet in gevaar;LC;to complete;nl
